timestamp,status,file_size_bytes,mtime_epoch,last_frame,frame_delta,last_points,last_packets,last_start_time,last_end_time,tail_warning_lines,tail_error_lines
2026-08-11T06:28:17Z,ok,1563771,1786429548,16349,,64000,500,1786429548.841420,1786429548.940770,2,0
2026-08-11T06:29:55Z,frame_reset,92575,1786429796,972,,64000,500,1786429796.357232,1786429796.456630,0,0
2026-08-11T06:30:43Z,ok,138376,1786429844,1450,478,64000,500,1786429844.160670,1786429844.260534,2,0
2026-08-11T06:31:31Z,ok,183786,1786429892,1928,478,64000,500,1786429891.964374,1786429892.064077,0,0
2026-08-11T06:32:20Z,ok,230850,1786429941,2419,491,64000,500,1786429941.069229,1786429941.168419,2,0
2026-08-11T06:34:00Z,ok,327108,1786430041,3419,1000,64000,500,1786430041.077773,1786430041.176553,6,0
2026-08-11T06:34:49Z,ok,374712,1786430090,3909,490,64000,500,1786430090.081872,1786430090.181534,5,0
2026-08-11T06:35:38Z,ok,421326,1786430138,4393,484,64000,500,1786430138.485416,1786430138.585516,3,0
2026-08-11T06:36:25Z,ok,467998,1786430186,4871,478,64000,500,1786430186.289788,1786430186.390139,6,0
2026-08-11T06:37:40Z,ok,539799,1786430261,5618,747,64000,500,1786430260.996658,1786430261.096222,2,0
2026-08-11T06:38:28Z,ok,586414,1786430309,6103,485,64000,500,1786430309.278319,1786430309.377704,3,0
2026-08-11T06:39:19Z,ok,635036,1786430359,6605,502,64000,500,1786430359.470215,1786430359.569580,4,0
2026-08-11T06:40:08Z,ok,682098,1786430408,7096,491,64000,500,1786430408.560989,1786430408.660787,2,0
2026-08-11T06:41:22Z,ok,753292,1786430483,7841,745,64000,500,1786430483.042551,1786430483.142070,0,0
2026-08-11T06:42:12Z,ok,801213,1786430533,8341,500,64000,500,1786430533.060174,1786430533.159856,2,0
2026-08-11T06:43:01Z,ok,848084,1786430582,8831,490,64000,500,1786430582.083254,1786430582.182496,2,0
2026-08-11T06:43:51Z,ok,896191,1786430632,9332,501,64000,500,1786430632.185451,1786430632.284938,2,0
2026-08-11T06:45:06Z,ok,967884,1786430706,10077,745,64000,500,1786430706.682132,1786430706.781911,3,0
2026-08-11T06:45:55Z,ok,1015823,1786430756,10572,495,64000,500,1786430756.178695,1786430756.278972,2,0
2026-08-11T06:46:44Z,ok,1063571,1786430805,11065,493,64000,500,1786430805.476424,1786430805.575589,2,0
