timestamp,component,running,pids
2026-08-05T09:00:35Z,super_lio,1,3731
2026-08-05T09:00:35Z,body_odom_adapter,0,
2026-08-05T09:00:35Z,terrain_mapper,0,
2026-08-05T09:00:35Z,body_lattice_planner,0,
2026-08-05T09:00:35Z,go2_sdk2_bridge,0,
2026-08-05T09:00:35Z,go2_rl_controller,0,
2026-08-05T09:01:28Z,hesai_lidar,1,3527;3538
2026-08-05T09:01:28Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:01:28Z,super_lio,1,3731
2026-08-05T09:01:28Z,body_odom_adapter,0,
2026-08-05T09:01:28Z,terrain_mapper,0,
2026-08-05T09:01:28Z,body_lattice_planner,0,
2026-08-05T09:01:28Z,go2_sdk2_bridge,0,
2026-08-05T09:01:28Z,go2_rl_controller,0,
2026-08-05T09:02:12Z,hesai_lidar,1,3527;3538
2026-08-05T09:02:12Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:02:12Z,super_lio,1,3731
2026-08-05T09:02:12Z,body_odom_adapter,0,
2026-08-05T09:02:12Z,terrain_mapper,0,
2026-08-05T09:02:12Z,body_lattice_planner,0,
2026-08-05T09:02:12Z,go2_sdk2_bridge,0,
2026-08-05T09:02:12Z,go2_rl_controller,0,
2026-08-05T09:02:53Z,hesai_lidar,1,3527;3538
2026-08-05T09:02:53Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:02:53Z,super_lio,1,3731
2026-08-05T09:02:53Z,body_odom_adapter,1,7559
2026-08-05T09:02:53Z,terrain_mapper,1,7565
2026-08-05T09:02:53Z,body_lattice_planner,1,7567
2026-08-05T09:02:53Z,go2_sdk2_bridge,0,
2026-08-05T09:02:53Z,go2_rl_controller,0,
2026-08-05T09:03:31Z,hesai_lidar,1,3527;3538
2026-08-05T09:03:31Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:03:31Z,super_lio,1,3731
2026-08-05T09:03:31Z,body_odom_adapter,1,7559
2026-08-05T09:03:31Z,terrain_mapper,1,7565
2026-08-05T09:03:31Z,body_lattice_planner,1,7567
2026-08-05T09:03:31Z,go2_sdk2_bridge,0,
2026-08-05T09:03:31Z,go2_rl_controller,0,
2026-08-05T09:04:13Z,hesai_lidar,1,3527;3538
2026-08-05T09:04:13Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:04:13Z,super_lio,1,3731
2026-08-05T09:04:13Z,body_odom_adapter,1,7559
2026-08-05T09:04:13Z,terrain_mapper,1,7565
2026-08-05T09:04:13Z,body_lattice_planner,1,7567
2026-08-05T09:04:13Z,go2_sdk2_bridge,0,
2026-08-05T09:04:13Z,go2_rl_controller,0,
2026-08-05T09:04:51Z,hesai_lidar,1,3527;3538
2026-08-05T09:04:51Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:04:51Z,super_lio,1,3731
2026-08-05T09:04:51Z,body_odom_adapter,1,7559
2026-08-05T09:04:51Z,terrain_mapper,1,7565
2026-08-05T09:04:51Z,body_lattice_planner,1,7567
2026-08-05T09:04:51Z,go2_sdk2_bridge,0,
2026-08-05T09:04:51Z,go2_rl_controller,0,
2026-08-05T09:05:31Z,hesai_lidar,1,3527;3538
2026-08-05T09:05:31Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:05:31Z,super_lio,1,3731
2026-08-05T09:05:31Z,body_odom_adapter,1,7559
2026-08-05T09:05:31Z,terrain_mapper,1,7565
2026-08-05T09:05:31Z,body_lattice_planner,1,7567
2026-08-05T09:05:31Z,go2_sdk2_bridge,0,
2026-08-05T09:05:31Z,go2_rl_controller,0,
2026-08-05T09:06:10Z,hesai_lidar,1,3527;3538
2026-08-05T09:06:10Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:06:10Z,super_lio,1,3731
2026-08-05T09:06:10Z,body_odom_adapter,1,7559
2026-08-05T09:06:10Z,terrain_mapper,1,7565
2026-08-05T09:06:10Z,body_lattice_planner,1,7567
2026-08-05T09:06:10Z,go2_sdk2_bridge,0,
2026-08-05T09:06:10Z,go2_rl_controller,0,
2026-08-05T09:07:01Z,hesai_lidar,1,3527;3538
2026-08-05T09:07:01Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:07:01Z,super_lio,1,3731
2026-08-05T09:07:01Z,body_odom_adapter,1,7559
2026-08-05T09:07:01Z,terrain_mapper,1,7565
2026-08-05T09:07:01Z,body_lattice_planner,1,7567
2026-08-05T09:07:01Z,go2_sdk2_bridge,0,
2026-08-05T09:07:01Z,go2_rl_controller,0,
2026-08-05T09:07:40Z,hesai_lidar,1,3527;3538
2026-08-05T09:07:40Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:07:40Z,super_lio,1,3731
2026-08-05T09:07:40Z,body_odom_adapter,1,7559
2026-08-05T09:07:40Z,terrain_mapper,1,7565
2026-08-05T09:07:40Z,body_lattice_planner,1,7567
2026-08-05T09:07:40Z,go2_sdk2_bridge,0,
2026-08-05T09:07:40Z,go2_rl_controller,0,
2026-08-05T09:08:19Z,hesai_lidar,1,3527;3538
2026-08-05T09:08:19Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:08:19Z,super_lio,1,3731
2026-08-05T09:08:19Z,body_odom_adapter,1,7559
2026-08-05T09:08:19Z,terrain_mapper,1,7565
2026-08-05T09:08:19Z,body_lattice_planner,1,7567
2026-08-05T09:08:19Z,go2_sdk2_bridge,0,
2026-08-05T09:08:19Z,go2_rl_controller,0,
2026-08-05T09:08:58Z,hesai_lidar,1,3527;3538
2026-08-05T09:08:58Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:08:58Z,super_lio,1,3731
2026-08-05T09:08:58Z,body_odom_adapter,1,7559
2026-08-05T09:08:58Z,terrain_mapper,1,7565
2026-08-05T09:08:58Z,body_lattice_planner,1,7567
2026-08-05T09:08:58Z,go2_sdk2_bridge,0,
2026-08-05T09:08:58Z,go2_rl_controller,0,
2026-08-05T09:09:40Z,hesai_lidar,1,3527;3538
2026-08-05T09:09:40Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:09:40Z,super_lio,1,3731
2026-08-05T09:09:40Z,body_odom_adapter,1,7559
2026-08-05T09:09:40Z,terrain_mapper,1,7565
2026-08-05T09:09:40Z,body_lattice_planner,1,7567
2026-08-05T09:09:40Z,go2_sdk2_bridge,0,
2026-08-05T09:09:40Z,go2_rl_controller,0,
2026-08-05T09:10:19Z,hesai_lidar,1,3527;3538
2026-08-05T09:10:19Z,go2_imu_bridge,1,3657;3665
2026-08-05T09:10:19Z,super_lio,1,3731
2026-08-05T09:10:19Z,body_odom_adapter,1,7559
2026-08-05T09:10:19Z,terrain_mapper,1,7565
2026-08-05T09:10:19Z,body_lattice_planner,1,7567
2026-08-05T09:10:19Z,go2_sdk2_bridge,0,
2026-08-05T09:10:19Z,go2_rl_controller,0,
