timestamp,topic,average_hz,status
2026-08-11T05:44:17Z,/lio/odom,,no_data
2026-08-11T05:44:17Z,/lio/body_odom,,no_data
2026-08-11T05:44:56Z,/imu/data,,no_data
2026-08-11T05:45:00Z,/lio/odom,9.944,ok
2026-08-11T05:45:05Z,/lio/body_odom,10.132,ok
2026-08-11T05:45:09Z,/body_path,,no_data
2026-08-11T05:45:13Z,/terrain_costmap,1.988,ok
2026-08-11T05:45:18Z,/sdk2_command,,no_data
2026-08-11T05:45:44Z,/lio/odom,10.014289,ok
2026-08-11T05:45:44Z,/lio/body_odom,10.009114,ok
2026-08-11T05:45:44Z,/imu/data,,no_data
2026-08-11T05:45:48Z,/lio/odom,9.969,ok
2026-08-11T05:45:53Z,/lio/body_odom,10.022,ok
2026-08-11T05:45:57Z,/body_path,,no_data
2026-08-11T05:46:01Z,/terrain_costmap,,no_data
2026-08-11T05:46:06Z,/sdk2_command,,no_data
2026-08-11T05:46:33Z,/lio/odom,9.997790,ok
2026-08-11T05:46:33Z,/lio/body_odom,10.000941,ok
2026-08-11T05:46:34Z,/imu/data,161.219,ok
2026-08-11T05:46:38Z,/lio/odom,,no_data
2026-08-11T05:46:42Z,/lio/body_odom,9.950,ok
2026-08-11T05:46:47Z,/body_path,2.000,ok
2026-08-11T05:46:51Z,/terrain_costmap,1.999,ok
2026-08-11T05:46:55Z,/sdk2_command,19.997,ok
2026-08-11T05:47:22Z,/lio/odom,9.975597,ok
2026-08-11T05:47:22Z,/lio/body_odom,9.982813,ok
2026-08-11T05:47:22Z,/imu/data,161.859,ok
2026-08-11T05:47:26Z,/lio/odom,9.926,ok
2026-08-11T05:47:31Z,/lio/body_odom,10.008,ok
2026-08-11T05:47:35Z,/body_path,2.155,ok
2026-08-11T05:47:39Z,/terrain_costmap,,no_data
2026-08-11T05:47:44Z,/sdk2_command,,no_data
2026-08-11T05:48:09Z,/lio/odom,9.987863,ok
2026-08-11T05:48:09Z,/lio/body_odom,9.990810,ok
2026-08-11T05:49:06Z,/imu/data,159.944,ok
2026-08-11T05:49:11Z,/lio/odom,9.972,ok
2026-08-11T05:49:15Z,/lio/body_odom,,no_data
2026-08-11T05:49:20Z,/body_path,,no_data
2026-08-11T05:49:24Z,/terrain_costmap,2.000,ok
2026-08-11T05:49:28Z,/sdk2_command,,no_data
2026-08-11T05:49:56Z,/lio/odom,10.038132,ok
2026-08-11T05:49:56Z,/lio/body_odom,10.017673,ok
2026-08-11T05:49:56Z,/imu/data,165.315,ok
2026-08-11T05:50:00Z,/lio/odom,10.046,ok
2026-08-11T05:50:05Z,/lio/body_odom,10.028,ok
2026-08-11T05:50:09Z,/body_path,,no_data
2026-08-11T05:50:13Z,/terrain_costmap,,no_data
2026-08-11T05:50:18Z,/sdk2_command,,no_data
2026-08-11T05:50:46Z,/lio/odom,9.141977,ok
2026-08-11T05:50:46Z,/lio/body_odom,10.085731,ok
2026-08-11T05:50:46Z,/imu/data,157.335,ok
2026-08-11T05:50:50Z,/lio/odom,,no_data
2026-08-11T05:50:55Z,/lio/body_odom,10.012,ok
2026-08-11T05:50:59Z,/body_path,,no_data
2026-08-11T05:51:03Z,/terrain_costmap,,no_data
2026-08-11T05:51:08Z,/sdk2_command,,no_data
