timestamp,status,file_size_bytes,mtime_epoch,last_frame,frame_delta,last_points,last_packets,last_start_time,last_end_time,tail_warning_lines,tail_error_lines
2026-08-10T08:42:11Z,ok,675159,1786351312,7104,,64000,500,1786351311.913764,1786351312.013427,0,0
2026-08-10T08:43:40Z,frame_reset,84663,1786351421,879,,64000,500,1786351421.012558,1786351421.112114,4,0
2026-08-10T08:44:30Z,ok,132366,1786351471,1378,499,64000,500,1786351470.913725,1786351471.014028,2,0
2026-08-10T08:45:20Z,ok,180341,1786351521,1883,505,64000,500,1786351521.415347,1786351521.515143,0,0
2026-08-10T08:46:10Z,ok,228232,1786351570,2376,493,64000,500,1786351570.716253,1786351570.815509,5,0
2026-08-10T08:47:46Z,ok,321107,1786351666,3336,960,64000,500,1786351666.717127,1786351666.816700,6,0
2026-08-10T08:48:34Z,ok,366707,1786351714,3816,480,64000,500,1786351714.717369,1786351714.816594,0,0
2026-08-10T08:49:22Z,ok,413143,1786351762,4296,480,64000,500,1786351762.717419,1786351762.816593,4,0
2026-08-10T08:50:10Z,ok,459591,1786351810,4777,481,64000,500,1786351810.816798,1786351810.917017,4,0
2026-08-10T08:51:22Z,ok,528826,1786351882,5496,719,64000,500,1786351882.716508,1786351882.816198,3,0
2026-08-10T08:52:10Z,ok,575061,1786351930,5976,480,64000,500,1786351930.715424,1786351930.815328,3,0
2026-08-10T08:52:58Z,ok,620661,1786351978,6456,480,64000,500,1786351978.714930,1786351978.815378,0,0
2026-08-10T08:53:48Z,ok,669080,1786352029,6959,503,64000,500,1786352029.013996,1786352029.114514,3,0
2026-08-10T08:55:00Z,ok,737005,1786352100,7674,715,64000,500,1786352100.513746,1786352100.613575,0,0
2026-08-10T08:55:49Z,ok,784167,1786352149,8166,492,64000,500,1786352149.712413,1786352149.812415,2,0
2026-08-10T08:56:37Z,ok,830185,1786352197,8646,480,64000,500,1786352197.712203,1786352197.811876,2,0
2026-08-10T08:57:25Z,ok,875880,1786352245,9127,481,64000,500,1786352245.811565,1786352245.911271,0,0
2026-08-10T08:58:39Z,ok,918796,1786352291,9578,451,64000,500,1786352290.910674,1786352291.009868,0,0
2026-08-10T08:59:29Z,ok,918796,1786352291,9578,0,64000,500,1786352290.910674,1786352291.009868,0,0
2026-08-10T09:00:18Z,frame_reset,41345,1786352419,427,,64000,500,1786352419.608266,1786352419.707936,1,1
2026-08-10T09:01:06Z,ok,86089,1786352467,903,476,64000,500,1786352467.209319,1786352467.309226,0,0
2026-08-10T09:02:18Z,ok,154812,1786352539,1623,720,64000,500,1786352539.209562,1786352539.309455,1,0
2026-08-10T09:03:06Z,ok,200507,1786352587,2104,481,64000,500,1786352587.310623,1786352587.410617,0,0
2026-08-10T09:03:55Z,ok,247403,1786352636,2591,487,64000,500,1786352636.011336,1786352636.111102,3,0
2026-08-10T09:04:43Z,ok,292623,1786352683,3067,476,64000,500,1786352683.611099,1786352683.710937,0,0
2026-08-10T09:05:41Z,ok,307285,1786352699,3220,153,64000,500,1786352698.911539,1786352699.011042,1,0
2026-08-10T09:06:31Z,ok,307285,1786352699,3220,0,64000,500,1786352698.911539,1786352699.011042,1,0
