timestamp,monotonic_ns,load1,load5,load15,mem_available_kib,swap_free_kib,thermal_max_millic,thermal_zone,status
2026-08-11T09:45:26Z,1456700000000,0.65,0.52,0.42,13964292,8015680,54000,tj-thermal,ok
2026-08-11T09:46:58Z,1549980000000,8.79,3.03,1.31,12833676,8015680,56125,soc1-thermal,ok
2026-08-11T09:47:52Z,1603290000000,9.81,4.31,1.85,12729208,8015680,56562,tj-thermal,ok
2026-08-11T09:48:45Z,1655500000000,9.36,5.12,2.26,12731072,8015680,56750,soc1-thermal,ok
2026-08-11T09:49:36Z,1706750000000,9.92,5.94,2.70,12728120,8015680,56812,soc1-thermal,ok
2026-08-11T09:51:29Z,1819490000000,8.14,6.46,3.26,12706092,8015680,57187,soc1-thermal,ok
2026-08-11T09:52:19Z,1869190000000,7.76,6.70,3.51,12703152,8015680,57312,tj-thermal,ok
2026-08-11T09:53:09Z,1919960000000,7.63,6.83,3.73,12643380,8015680,57500,soc1-thermal,ok
2026-08-11T09:54:01Z,1971880000000,9.52,7.49,4.13,12697432,8015680,57406,soc1-thermal,ok
2026-08-11T09:55:16Z,2046900000000,8.72,7.69,4.46,12686024,8015680,57468,soc1-thermal,ok
2026-08-11T09:56:07Z,2097400000000,8.31,7.75,4.65,12690056,8015680,57500,tj-thermal,ok
2026-08-11T09:56:58Z,2148910000000,6.95,7.50,4.73,12693284,8015680,57531,tj-thermal,ok
2026-08-11T09:57:48Z,2198730000000,7.04,7.46,4.87,12688796,8015680,57500,tj-thermal,ok
2026-08-11T09:59:03Z,2273720000000,7.85,7.65,5.14,12685356,8015680,57531,tj-thermal,ok
