timestamp,monotonic_ns,load1,load5,load15,mem_available_kib,swap_free_kib,thermal_max_millic,thermal_zone,status
2026-08-12T03:04:20Z,189220000000,2.05,0.82,0.32,13976336,8015680,48718,soc1-thermal,ok
2026-08-12T03:05:50Z,279580000000,2.50,1.43,0.59,13488760,8015680,50843,tj-thermal,ok
2026-08-12T03:06:41Z,330320000000,3.33,1.77,0.76,13480872,8015680,51187,soc1-thermal,ok
2026-08-12T03:07:31Z,380780000000,3.74,2.14,0.94,13477884,8015680,51687,soc1-thermal,ok
2026-08-12T03:08:21Z,431080000000,2.99,2.17,1.01,13483444,8015680,52031,tj-thermal,ok
2026-08-12T03:09:36Z,505470000000,3.21,2.49,1.22,13485912,8015680,52468,tj-thermal,ok
2026-08-12T03:10:26Z,556160000000,3.17,2.54,1.30,13484188,8015680,52812,tj-thermal,ok
2026-08-12T03:11:17Z,606340000000,4.33,3.04,1.54,13484792,8015680,52750,soc1-thermal,ok
2026-08-12T03:12:07Z,656470000000,3.70,3.06,1.63,13478684,8015680,52843,soc1-thermal,ok
2026-08-12T03:13:21Z,730600000000,3.82,3.24,1.80,13485324,8015680,52937,tj-thermal,ok
2026-08-12T03:14:11Z,780830000000,2.89,3.06,1.82,13480948,8015680,53125,tj-thermal,ok
2026-08-12T03:15:01Z,831100000000,3.13,3.11,1.90,13583328,8015680,52875,soc1-thermal,ok
2026-08-12T03:15:52Z,881630000000,2.51,2.95,1.91,13590724,8015680,52937,tj-thermal,ok
2026-08-12T03:17:05Z,955220000000,2.58,2.83,1.94,13580372,8015680,52875,soc1-thermal,ok
2026-08-12T03:17:56Z,1005290000000,1.36,2.46,1.86,13579024,8015680,52656,soc1-thermal,ok
2026-08-12T03:18:46Z,1055300000000,2.27,2.49,1.90,13576892,8015680,52843,soc1-thermal,ok
