timestamp,monotonic_ns,load1,load5,load15,mem_available_kib,swap_free_kib,thermal_max_millic,thermal_zone,status
2026-08-25T01:21:11Z,112720000000,1.75,0.86,0.33,13945836,8015680,44718,soc1-thermal,ok
2026-08-25T01:22:48Z,212290000000,10.38,4.02,1.51,12488380,8015680,49000,soc1-thermal,ok
2026-08-25T01:23:46Z,268980000000,12.00,5.64,2.22,12673116,8015680,50218,soc1-thermal,ok
2026-08-25T01:24:40Z,322700000000,13.90,7.17,2.93,12746684,8015680,51000,soc1-thermal,ok
2026-08-25T01:25:34Z,375980000000,13.50,8.09,3.49,12664916,8015680,51531,tj-thermal,ok
2026-08-25T01:27:39Z,500760000000,10.87,9.05,4.43,12689812,8015680,52593,tj-thermal,ok
2026-08-25T01:28:31Z,553230000000,11.81,9.58,4.86,12629408,8015680,52906,soc1-thermal,ok
2026-08-25T01:29:25Z,607620000000,13.99,10.66,5.50,12270448,8015680,53062,soc1-thermal,ok
2026-08-25T01:30:19Z,660800000000,12.15,10.69,5.81,12650904,8015680,53031,tj-thermal,ok
2026-08-25T01:31:36Z,738230000000,10.84,10.66,6.18,12651632,8015680,53250,tj-thermal,ok
2026-08-25T01:32:28Z,789890000000,9.30,10.32,6.31,12622672,8015680,53468,tj-thermal,ok
