timestamp,monotonic_ns,load1,load5,load15,mem_available_kib,swap_free_kib,thermal_max_millic,thermal_zone,status
2026-08-07T09:00:36Z,112150000000,1.71,0.70,0.26,13983212,8015680,53875,tj-thermal,ok
2026-08-07T09:02:06Z,203400000000,7.35,2.61,0.97,13309408,8015680,55656,soc1-thermal,ok
2026-08-07T09:02:57Z,252960000000,7.86,3.48,1.35,13307940,8015680,56031,soc1-thermal,ok
2026-08-07T09:03:48Z,304010000000,7.80,4.13,1.69,13309072,8015680,56343,soc1-thermal,ok
2026-08-07T09:04:39Z,355740000000,8.91,5.01,2.13,13304928,8015680,56312,tj-thermal,ok
2026-08-07T09:06:30Z,466410000000,7.47,5.41,2.58,13376660,8015680,56343,soc1-thermal,ok
2026-08-07T09:07:20Z,516520000000,8.23,5.97,2.92,13320200,8015680,56718,tj-thermal,ok
2026-08-07T09:08:11Z,567150000000,7.83,6.17,3.15,13368984,8015680,56500,soc1-thermal,ok
2026-08-07T09:09:02Z,618450000000,4.68,5.63,3.13,13967524,8015680,55093,soc1-thermal,ok
2026-08-07T09:10:00Z,675960000000,1.84,4.64,2.94,13975476,8015680,54312,soc1-thermal,ok
2026-08-07T09:10:50Z,725540000000,1.49,4.16,2.86,13978056,8015680,54031,soc1-thermal,ok
