timestamp,topic,ros_stamp_ns,frame_id,child_frame_id,x,y,z,qx,qy,qz,qw,yaw,status
2026-08-10T07:40:55Z,/lio/body_odom,1786347656934561729,world,base_link,0.002451100153848529,-0.007944832555949688,0.0032955969218164682,-0.008347649721157934,6.442775607650963e-05,-0.706739744850089,0.7074243745040373,-1.5697583976703533,ok
2026-08-10T07:41:43Z,/lio/body_odom,1786347706733969926,world,base_link,0.0005607100902125239,-0.011598654091358185,-0.00023443652025889605,-0.008701957297130665,0.0001452975338183437,-0.7066062668297619,0.707553417421422,-1.5693810977209919,ok
2026-08-10T07:42:33Z,/lio/body_odom,1786347754437155961,world,base_link,0.004834960214793682,-0.013303380459547043,-0.0015532876132056117,-0.008717302080353208,-0.00015596469920723,-0.7067233495327858,0.7074362809077667,-1.5697120754999294,ok
2026-08-10T07:43:20Z,/lio/body_odom,,,,,,,,,,,,no_data
2026-08-10T07:44:34Z,/lio/body_odom,,,,,,,,,,,,no_data
2026-08-10T07:45:24Z,/lio/body_odom,1786347926635078668,world,base_link,0.004474218003451824,-0.013849971815943718,-0.0012647066032513976,-0.008593029703237522,-0.000213028325448273,-0.7068356165363533,0.7073256150141356,-1.5700295356697618,ok
2026-08-10T07:46:12Z,/lio/body_odom,1786347973435193300,world,base_link,0.004806406795978546,-0.01411281619220972,-0.0010419582249596715,-0.008671571015012501,-0.0002851832816492204,-0.7066530666206983,0.7075070077124258,-1.569513499438125,ok
2026-08-10T07:46:59Z,/lio/body_odom,1786348020539518833,world,base_link,0.004041313659399748,-0.015558825805783272,-0.0009484782349318266,-0.008714307665897748,0.0001425563784055676,-0.7067491587917862,0.7074105364402524,-1.5697850399434783,ok
2026-08-10T07:48:33Z,/lio/body_odom,1786348115638162136,world,base_link,0.004119983874261379,-0.015723999589681625,-0.0006737791700288653,-0.008723951943076068,-0.000174710602590471,-0.7065050049507989,0.7076542518194686,-1.5690948965482334,ok
2026-08-10T07:49:21Z,/lio/body_odom,1786348163633840799,world,base_link,0.005203785840421915,-0.017705678939819336,-0.00011224225454498082,-0.008790859887192823,-1.677666631604913e-05,-0.7066016800065618,0.7075569138330088,-1.5693680846067215,ok
2026-08-10T07:50:09Z,/lio/body_odom,1786348211737646341,world,base_link,0.003880059812217951,0.059135571122169495,-0.18756891787052155,-0.027361843322295805,-0.023085658060818096,-0.7192914626529355,0.693785394539627,-1.6067220249543672,ok
2026-08-10T07:50:57Z,/lio/body_odom,1786348259635566234,world,base_link,-0.005434977822005749,0.05745662376284599,-0.1873827427625656,-0.02793788776241455,-0.02245732561969275,-0.7191993269394206,0.6938785708488701,-1.606398575816644,ok
2026-08-10T07:52:09Z,/lio/body_odom,1786348331635333776,world,base_link,-0.004916288889944553,0.05706607177853584,-0.18853595852851868,-0.027942432510429438,-0.02267247413982155,-0.7191576864556043,0.6939145490574485,-1.6062986642382704,ok
2026-08-10T07:52:57Z,/lio/body_odom,1786348379633253335,world,base_link,-0.0038553953636437654,0.05635668337345123,-0.18732380867004395,-0.027713188274967313,-0.02290192105287834,-0.7192320637795528,0.6938391165386464,-1.6065342726526814,ok
2026-08-10T07:53:45Z,/lio/body_odom,1786348427633249998,world,base_link,-0.0044400980696082115,0.05663050338625908,-0.18637855350971222,-0.027815093724840034,-0.022656801671410255,-0.7192468056777102,0.6938278045895186,-1.6065539172401815,ok
2026-08-10T07:54:33Z,/lio/body_odom,1786348475635261058,world,base_link,-0.003186253597959876,0.05696532130241394,-0.18803280591964722,-0.027810341954354285,-0.02275234668762834,-0.7192306360047063,0.6938416302246887,-1.6065162761599303,ok
2026-08-10T07:55:45Z,/lio/body_odom,1786348546834759950,world,base_link,-0.0027434653602540493,0.05380886420607567,-0.18815159797668457,-0.028013251089973976,-0.022635709884220374,-0.7193860551415961,0.6936761391811168,-1.6069546128568624,ok
2026-08-10T07:56:32Z,/lio/body_odom,1786348595630887985,world,base_link,-0.0034472427796572447,0.05609648674726486,-0.18731144070625305,-0.027898781558352015,-0.022729979175947275,-0.7192331171094202,0.6938362409728159,-1.6065216430574953,ok
