window_end,window_duration_sec,topic,status,message_count,first_receive_ns,last_receive_ns,first_header_ns,last_header_ns,latest_header_age_ms,header_span_ms,first_local_sequence,last_local_sequence,unique_header_count,duplicate_header_count,nonmonotonic_header_count,invalid_header_count,min_header_gap_ms,max_header_gap_ms,max_receive_gap_ms
2026-08-12T02:16:18Z,5.000540,/lio/odom,no_data,0,,,,,,,,,0,0,0,0,,,
2026-08-12T02:16:18Z,5.000540,/lio/body_odom,no_data,0,,,,,,,,,0,0,0,0,,,
2026-08-12T02:18:38Z,5.000813,/lio/odom,ok,32,1786501115794225153,1786501118900276335,1786501115763109445,1786501118865476846,125.979660,3102.367401,1,32,32,0,0,0,93.969822,103.904008,106.758507
2026-08-12T02:18:38Z,5.000813,/lio/body_odom,ok,43,1786501114692483809,1786501118902715084,1786501114667120695,1786501118865476846,125.979660,4198.356151,1,43,43,0,0,0,93.969822,104.220152,115.566506
2026-08-12T02:19:29Z,5.000752,/lio/odom,ok,42,1786501165845787189,1786501169895192576,1786501165768213033,1786501169863331556,82.486151,4095.118523,1,42,42,0,0,0,90.362549,107.119560,117.283832
2026-08-12T02:19:29Z,5.000752,/lio/body_odom,ok,39,1786501166086209828,1786501169896814275,1786501166062952041,1786501169863331556,82.486151,3800.379515,1,39,39,0,0,0,93.839884,107.119560,117.698954
2026-08-12T02:22:11Z,5.000751,/lio/odom,ok,29,1786501328994303072,1786501331795352481,1786501328966573238,1786501331768551826,99.193781,2801.978588,1,29,29,0,0,0,95.453024,104.944944,107.283491
2026-08-12T02:22:11Z,5.000751,/lio/body_odom,no_data,0,,,,,,,,,0,0,0,0,,,
2026-08-12T02:23:02Z,5.000597,/lio/odom,ok,31,1786501379805003772,1786501382704171414,1786501379670593023,1786501382670652389,70.623640,3000.059366,1,31,31,0,0,0,95.658779,106.820822,110.203995
2026-08-12T02:23:02Z,5.000597,/lio/body_odom,no_data,0,,,,,,,,,0,0,0,0,,,
2026-08-12T02:23:53Z,5.000577,/lio/odom,ok,30,1786501430798732282,1786501433700423268,1786501430773066759,1786501433672721147,42.465065,2899.654388,1,30,30,0,0,0,95.370293,103.793621,105.740235
2026-08-12T02:23:53Z,5.000577,/lio/body_odom,no_data,0,,,,,,,,,0,0,0,0,,,
2026-08-12T02:24:43Z,5.000662,/lio/odom,ok,50,1786501478983595858,1786501483901054895,1786501478964763879,1786501483868566274,97.225492,4903.802395,1,50,50,0,0,0,93.631030,105.844497,123.467230
2026-08-12T02:24:43Z,5.000662,/lio/body_odom,no_data,0,,,,,,,,,0,0,0,0,,,
2026-08-12T02:25:53Z,5.000680,/lio/odom,ok,30,1786501550796369702,1786501553696243730,1786501550766489028,1786501553662851810,44.570140,2896.362782,1,30,30,0,0,0,86.532831,113.796711,415.778893
2026-08-12T02:25:53Z,5.000680,/lio/body_odom,ok,40,1786501549792144946,1786501553697970000,1786501549762109756,1786501553662851810,44.570140,3900.742054,1,40,40,0,0,0,86.532831,113.796711,416.739287
2026-08-12T02:26:42Z,5.000710,/lio/odom,ok,35,1786501599534109173,1786501602898206657,1786501599465952873,1786501602870083570,101.476525,3404.130697,1,35,35,0,0,0,95.724106,104.137897,113.203752
2026-08-12T02:26:42Z,5.000710,/lio/body_odom,ok,44,1786501597988181406,1786501602899422201,1786501597967645406,1786501602870083570,101.476525,4902.438164,1,44,44,0,0,0,59.017420,436.899662,382.958243
2026-08-12T02:27:32Z,5.001939,/lio/odom,ok,25,1786501649799259047,1786501652196804145,1786501649767895221,1786501652167841911,29.138051,2399.946690,1,25,25,0,0,0,96.013069,104.026795,106.760662
2026-08-12T02:27:32Z,5.001939,/lio/body_odom,ok,34,1786501648799632750,1786501652098653031,1786501648769985198,1786501652069833517,127.146445,3299.848319,1,34,34,0,0,0,95.837593,104.026795,107.730091
2026-08-12T02:28:20Z,5.000723,/lio/odom,ok,48,1786501695289177671,1786501700201553064,1786501695270861387,1786501700173110485,79.033788,4902.249098,1,48,48,0,0,0,94.178439,297.914982,299.646257
2026-08-12T02:28:20Z,5.000723,/lio/body_odom,ok,35,1786501696805014329,1786501700203239702,1786501696773428440,1786501700173110485,79.033788,3399.682045,1,35,35,0,0,0,94.178439,104.042768,110.477801
2026-08-12T02:29:33Z,5.000804,/lio/odom,ok,41,1786501769903348684,1786501773907236892,1786501769868545770,1786501773872613668,69.017103,4004.067898,1,41,41,0,0,0,95.342398,106.361151,185.096773
2026-08-12T02:29:33Z,5.000804,/lio/body_odom,ok,20,1786501768993139951,1786501771006875692,1786501768968483448,1786501770970472574,2971.158197,2001.989126,1,20,20,0,0,0,85.168600,195.356608,342.127184
