timestamp,monotonic_ns,load1,load5,load15,mem_available_kib,swap_free_kib,thermal_max_millic,thermal_zone,status
2026-08-12T02:16:11Z,192820000000,1.39,0.52,0.20,13914256,8015680,53437,tj-thermal,ok
2026-08-12T02:17:37Z,279210000000,3.89,1.45,0.55,12843116,8015680,54281,tj-thermal,ok
2026-08-12T02:18:32Z,333460000000,3.43,1.78,0.72,12881592,8015680,53968,soc1-thermal,ok
2026-08-12T02:19:22Z,383450000000,4.90,2.49,1.02,12892488,8015680,53968,soc1-thermal,ok
2026-08-12T02:20:14Z,435150000000,4.21,2.69,1.17,13011888,8015680,54156,tj-thermal,ok
2026-08-12T02:22:04Z,546110000000,4.09,3.22,1.55,13274588,8015680,54093,tj-thermal,ok
2026-08-12T02:22:56Z,597370000000,3.01,3.07,1.58,13270872,8015680,53718,tj-thermal,ok
2026-08-12T02:23:47Z,648330000000,3.62,3.17,1.69,13272904,8015680,53750,tj-thermal,ok
2026-08-12T02:24:37Z,698570000000,2.33,2.88,1.67,13276780,8015680,53562,tj-thermal,ok
2026-08-12T02:25:46Z,768160000000,3.80,3.15,1.85,12851732,8015680,53781,soc1-thermal,ok
2026-08-12T02:26:36Z,817500000000,3.10,3.12,1.91,12848684,8015680,53781,tj-thermal,ok
2026-08-12T02:27:25Z,866650000000,2.27,2.90,1.90,12856076,8015680,53687,soc1-thermal,ok
2026-08-12T02:28:13Z,914520000000,4.92,3.54,2.17,12855576,8015680,53625,soc1-thermal,ok
2026-08-12T02:29:27Z,988520000000,2.91,3.25,2.17,12871696,8015680,54031,tj-thermal,ok
