timestamp,monotonic_ns,load1,load5,load15,mem_available_kib,swap_free_kib,thermal_max_millic,thermal_zone,status
2026-08-26T06:26:37Z,166100000000,1.84,0.75,0.28,13946324,8015680,50968,soc1-thermal,ok
2026-08-26T06:28:11Z,262200000000,8.49,3.11,1.16,12869012,8015680,53625,soc1-thermal,ok
2026-08-26T06:29:04Z,314340000000,9.42,4.19,1.63,12873240,8015680,54312,tj-thermal,ok
2026-08-26T06:29:57Z,367530000000,8.17,4.80,1.99,12872200,8015680,54718,soc1-thermal,ok
2026-08-26T06:30:48Z,418600000000,8.00,5.34,2.33,12874948,8015680,55250,soc1-thermal,ok
2026-08-26T06:32:44Z,534500000000,10.21,7.08,3.32,12868340,8015680,55843,soc1-thermal,ok
2026-08-26T06:33:38Z,587740000000,8.77,7.14,3.56,12874972,8015680,56031,tj-thermal,ok
2026-08-26T06:34:29Z,639060000000,8.24,7.29,3.80,12864852,8015680,56218,tj-thermal,ok
2026-08-26T06:35:21Z,691510000000,8.40,7.50,4.07,12867028,8015680,56406,tj-thermal,ok
2026-08-26T06:36:37Z,767270000000,8.56,7.90,4.49,13714132,8015680,56406,tj-thermal,ok
