timestamp,status,file_size_bytes,mtime_epoch,last_frame,frame_delta,last_points,last_packets,last_start_time,last_end_time,tail_warning_lines,tail_error_lines
2026-08-11T05:17:27Z,ok,87474,1786425394,917,,64000,500,1786425393.942099,1786425394.042310,0,0
2026-08-11T05:19:04Z,ok,91488,1786425545,956,39,64000,500,1786425544.934577,1786425545.033820,0,0
2026-08-11T05:19:53Z,ok,137615,1786425593,1442,486,64000,500,1786425593.531671,1786425593.631842,0,0
2026-08-11T05:20:42Z,ok,184355,1786425642,1934,492,64000,500,1786425642.729453,1786425642.829041,0,0
2026-08-11T05:21:32Z,frame_reset,5305,1786425693,43,,64000,500,1786425692.942543,1786425693.042244,1,1
2026-08-11T05:22:46Z,ok,75319,1786425767,784,741,64000,500,1786425767.056572,1786425767.156668,2,0
2026-08-11T05:23:36Z,ok,123304,1786425817,1287,503,64000,500,1786425817.361855,1786425817.461294,2,0
2026-08-11T05:24:27Z,ok,171831,1786425867,1789,502,64000,500,1786425867.562893,1786425867.662784,4,0
2026-08-11T05:25:16Z,ok,220512,1786425918,2297,508,64000,500,1786425918.370700,1786425918.463357,2,0
2026-08-11T05:26:55Z,ok,314773,1786426016,3277,980,64000,500,1786426016.361083,1786426016.460805,2,0
