timestamp,status,file_size_bytes,mtime_epoch,last_frame,frame_delta,last_points,last_packets,last_start_time,last_end_time,tail_warning_lines,tail_error_lines
2026-08-10T01:54:04Z,ok,299433,1786325557,3149,,64000,500,1786325557.856497,1786325557.956255,0,0
2026-08-10T01:55:31Z,frame_reset,81577,1786326932,855,,64000,500,1786326932.268327,1786326932.367625,0,0
2026-08-10T01:56:20Z,ok,127888,1786326981,1344,489,64000,500,1786326981.169055,1786326981.269410,0,0
2026-08-10T01:57:08Z,ok,173678,1786327029,1826,482,64000,500,1786327029.365804,1786327029.465370,0,0
2026-08-10T01:57:57Z,ok,220038,1786327078,2314,488,64000,500,1786327078.162810,1786327078.262723,0,0
2026-08-10T01:59:30Z,ok,263619,1786327124,2772,458,64000,500,1786327123.962067,1786327124.061721,0,0
2026-08-10T02:00:19Z,ok,263619,1786327124,2772,0,64000,500,1786327123.962067,1786327124.061721,0,0
2026-08-10T02:01:09Z,ok,263619,1786327124,2772,0,64000,500,1786327123.962067,1786327124.061721,0,0
2026-08-10T02:01:58Z,ok,263619,1786327124,2772,0,64000,500,1786327123.962067,1786327124.061721,0,0
2026-08-10T02:02:56Z,ok,263619,1786327124,2772,0,64000,500,1786327123.962067,1786327124.061721,0,0
