timestamp,x,y,z,status
2026-08-04T05:18:02Z,0.0010649823816493154,0.003623519092798233,0.006452481262385845,ok
2026-08-04T05:18:40Z,-0.0040145376697182655,0.0033840369433164597,0.004109093453735113,ok
2026-08-04T05:19:17Z,-0.0033338337671011686,0.0020664159674197435,0.004395726136863232,ok
2026-08-04T05:19:55Z,-0.004955557640641928,0.002607994480058551,0.0032390907872468233,ok
2026-08-04T05:20:57Z,-0.0076291440054774284,0.002104136859998107,0.0033046724274754524,ok
2026-08-04T05:21:37Z,,,,no_data
2026-08-04T05:22:16Z,,,,no_data
2026-08-04T05:22:56Z,-0.005954560358077288,0.0043630534783005714,0.001835652976296842,ok
2026-08-04T05:23:51Z,,,,no_data
2026-08-04T05:24:31Z,-0.006056830752640963,0.005105658434331417,0.0011455218773335218,ok
2026-08-04T05:25:10Z,-0.0005576760740950704,0.002344165463000536,0.0016783070750534534,ok
2026-08-04T05:25:50Z,-0.005818736273795366,0.0032051135785877705,1.5213138794933911e-05,ok
2026-08-04T05:26:41Z,-0.003834410570561886,0.0029087760485708714,0.0031350546050816774,ok
2026-08-04T05:27:20Z,-0.003986575175076723,0.0037898460868746042,0.002589467680081725,ok
2026-08-04T05:28:00Z,-0.004206099081784487,0.005707607604563236,0.003781272331252694,ok
2026-08-04T05:28:39Z,-0.0027012124191969633,0.0039051948115229607,0.0021252671722322702,ok
2026-08-04T05:29:30Z,,,,no_data
2026-08-04T05:30:09Z,,,,no_data
2026-08-04T05:30:45Z,,,,no_data
2026-08-04T05:31:21Z,,,,no_data
2026-08-04T05:31:58Z,,,,no_data
2026-08-04T05:32:34Z,,,,no_data
2026-08-04T05:33:10Z,,,,no_data
2026-08-04T05:33:46Z,,,,no_data
2026-08-04T05:34:23Z,,,,no_data
2026-08-04T05:34:59Z,,,,no_data
2026-08-04T05:35:35Z,,,,no_data
2026-08-04T05:36:11Z,,,,no_data
2026-08-04T05:36:48Z,,,,no_data
2026-08-04T05:37:24Z,,,,no_data
2026-08-04T05:38:00Z,,,,no_data
2026-08-04T05:38:36Z,,,,no_data
2026-08-04T05:39:13Z,,,,no_data
2026-08-04T05:39:49Z,,,,no_data
2026-08-04T05:40:25Z,-0.007766203489154577,0.0034435612615197897,0.0028918299358338118,ok
2026-08-04T05:41:02Z,-0.0012298282235860825,-0.0017090914770960808,0.005023499950766563,ok
2026-08-04T05:41:49Z,-0.026066606864333153,-0.08598994463682175,0.2617628574371338,ok
2026-08-04T05:42:26Z,,,,no_data
2026-08-04T05:43:04Z,0.11361996084451675,-1.527530312538147,-0.10471106320619583,ok
2026-08-04T05:43:41Z,0.102166086435318,-1.5349355936050415,-0.10462955385446548,ok
2026-08-04T05:44:28Z,0.10135960578918457,-1.539976954460144,-0.10397530347108841,ok
2026-08-04T05:45:05Z,,,,no_data
2026-08-04T05:45:43Z,,,,no_data
2026-08-04T05:46:22Z,0.09870174527168274,-1.541473150253296,-0.10355103015899658,ok
2026-08-04T05:47:09Z,0.09983249008655548,-1.5376646518707275,-0.10282605141401291,ok
2026-08-04T05:47:47Z,0.10116572678089142,-1.5402779579162598,-0.09688317775726318,ok
2026-08-04T05:48:24Z,,,,no_data
2026-08-04T05:49:00Z,,,,no_data
2026-08-04T05:49:37Z,,,,no_data
2026-08-04T05:50:13Z,,,,no_data
2026-08-04T05:50:49Z,,,,no_data
2026-08-04T05:51:25Z,,,,no_data
2026-08-04T05:52:03Z,,,,no_data
2026-08-04T05:52:39Z,,,,no_data
2026-08-04T05:53:14Z,,,,no_data
2026-08-04T05:53:50Z,,,,no_data
2026-08-04T05:54:28Z,,,,no_data
2026-08-04T05:55:04Z,,,,no_data
2026-08-04T05:55:39Z,,,,no_data
2026-08-04T05:56:15Z,,,,no_data
2026-08-04T05:56:53Z,,,,no_data
2026-08-04T05:57:28Z,,,,no_data
2026-08-04T05:58:04Z,,,,no_data
2026-08-04T05:58:40Z,,,,no_data
2026-08-04T05:59:17Z,,,,no_data
2026-08-04T05:59:53Z,,,,no_data
2026-08-04T06:00:29Z,,,,no_data
2026-08-04T06:01:05Z,,,,no_data
2026-08-04T06:01:43Z,,,,no_data
2026-08-04T06:02:18Z,,,,no_data
2026-08-04T06:02:54Z,,,,no_data
2026-08-04T06:03:30Z,,,,no_data
2026-08-04T06:04:08Z,,,,no_data
2026-08-04T06:04:43Z,,,,no_data
2026-08-04T06:05:19Z,,,,no_data
2026-08-04T06:05:55Z,,,,no_data
2026-08-04T06:06:32Z,,,,no_data
2026-08-04T06:07:08Z,,,,no_data
2026-08-04T06:07:44Z,,,,no_data
2026-08-04T06:08:20Z,,,,no_data
2026-08-04T06:08:57Z,,,,no_data
2026-08-04T06:09:33Z,,,,no_data
2026-08-04T06:10:09Z,,,,no_data
2026-08-04T06:10:45Z,,,,no_data
2026-08-04T06:11:22Z,,,,no_data
2026-08-04T06:11:58Z,,,,no_data
2026-08-04T06:12:34Z,,,,no_data
2026-08-04T06:13:10Z,,,,no_data
2026-08-04T06:13:48Z,,,,no_data
2026-08-04T06:14:23Z,,,,no_data
2026-08-04T06:14:59Z,,,,no_data
2026-08-04T06:15:35Z,,,,no_data
2026-08-04T06:16:13Z,,,,no_data
2026-08-04T06:16:48Z,,,,no_data
2026-08-04T06:17:24Z,,,,no_data
2026-08-04T06:18:00Z,,,,no_data
2026-08-04T06:18:38Z,,,,no_data
2026-08-04T06:19:14Z,,,,no_data
2026-08-04T06:19:49Z,,,,no_data
2026-08-04T06:20:25Z,,,,no_data
2026-08-04T06:21:03Z,,,,no_data
2026-08-04T06:21:38Z,,,,no_data
2026-08-04T06:22:14Z,,,,no_data
2026-08-04T06:22:50Z,,,,no_data
2026-08-04T06:23:27Z,,,,no_data
2026-08-04T06:24:03Z,,,,no_data
2026-08-04T06:24:39Z,,,,no_data
2026-08-04T06:25:15Z,,,,no_data
2026-08-04T06:25:52Z,,,,no_data
2026-08-04T06:26:28Z,,,,no_data
2026-08-04T06:27:04Z,,,,no_data
2026-08-04T06:27:40Z,,,,no_data
2026-08-04T06:28:17Z,,,,no_data
2026-08-04T06:28:53Z,,,,no_data
2026-08-04T06:29:29Z,,,,no_data
2026-08-04T06:30:05Z,,,,no_data
2026-08-04T06:30:42Z,,,,no_data
2026-08-04T06:31:18Z,,,,no_data
2026-08-04T06:31:54Z,,,,no_data
2026-08-04T06:32:30Z,,,,no_data
2026-08-04T06:33:07Z,,,,no_data
2026-08-04T06:33:43Z,,,,no_data
2026-08-04T06:34:19Z,,,,no_data
2026-08-04T06:34:54Z,,,,no_data
2026-08-04T06:35:32Z,,,,no_data
2026-08-04T06:36:08Z,,,,no_data
2026-08-04T06:36:44Z,,,,no_data
2026-08-04T06:37:19Z,,,,no_data
2026-08-04T06:37:57Z,,,,no_data
2026-08-04T06:38:33Z,,,,no_data
2026-08-04T06:39:09Z,,,,no_data
2026-08-04T06:39:45Z,,,,no_data
2026-08-04T06:40:22Z,,,,no_data
2026-08-04T06:40:58Z,,,,no_data
2026-08-04T06:41:34Z,,,,no_data
2026-08-04T06:42:10Z,,,,no_data
2026-08-04T06:42:47Z,,,,no_data
2026-08-04T06:43:23Z,,,,no_data
2026-08-04T06:43:59Z,,,,no_data
2026-08-04T06:44:34Z,,,,no_data
2026-08-04T06:45:12Z,,,,no_data
2026-08-04T06:45:48Z,,,,no_data
2026-08-04T06:46:23Z,,,,no_data
2026-08-04T06:46:59Z,,,,no_data
2026-08-04T06:47:36Z,,,,no_data
2026-08-04T06:48:12Z,,,,no_data
2026-08-04T06:48:48Z,,,,no_data
2026-08-04T06:49:24Z,,,,no_data
2026-08-04T06:50:01Z,,,,no_data
2026-08-04T06:50:37Z,,,,no_data
2026-08-04T06:51:13Z,,,,no_data
2026-08-04T06:51:49Z,,,,no_data
2026-08-04T06:52:26Z,,,,no_data
2026-08-04T06:53:02Z,,,,no_data
2026-08-04T06:53:38Z,,,,no_data
2026-08-04T06:54:14Z,,,,no_data
2026-08-04T06:54:51Z,,,,no_data
2026-08-04T06:55:27Z,,,,no_data
2026-08-04T06:56:03Z,,,,no_data
2026-08-04T06:56:39Z,,,,no_data
2026-08-04T06:57:16Z,,,,no_data
2026-08-04T06:57:52Z,,,,no_data
2026-08-04T06:58:28Z,,,,no_data
2026-08-04T06:59:04Z,,,,no_data
2026-08-04T06:59:41Z,,,,no_data
