window_end,window_duration_sec,topic,status,message_count,first_receive_ns,last_receive_ns,first_header_ns,last_header_ns,latest_header_age_ms,header_span_ms,first_local_sequence,last_local_sequence,unique_header_count,duplicate_header_count,nonmonotonic_header_count,invalid_header_count,min_header_gap_ms,max_header_gap_ms,max_receive_gap_ms
2026-08-25T05:17:23Z,5.001190,/lio/odom,no_data,0,,,,,,,,,0,0,0,0,,,
2026-08-25T05:17:23Z,5.001190,/lio/body_odom,no_data,0,,,,,,,,,0,0,0,0,,,
2026-08-25T05:19:54Z,5.001382,/lio/odom,ok,50,1787635189297706900,1787635194167919198,1787635189219710826,1787635194114326477,64.565039,4894.615651,1,50,50,0,0,0,91.397286,106.136083,156.869692
2026-08-25T05:19:54Z,5.001382,/lio/body_odom,ok,50,1787635189298773770,1787635194168922264,1787635189219710826,1787635194114326477,64.565039,4894.615651,1,50,50,0,0,0,91.397286,106.136083,156.317518
2026-08-25T05:20:47Z,5.000652,/lio/odom,ok,44,1787635243369622367,1787635247426015318,1787635243023283481,1787635247319934368,143.053318,4296.650887,1,44,44,0,0,0,87.748528,107.854843,148.547536
2026-08-25T05:20:47Z,5.000652,/lio/body_odom,ok,45,1787635242975814378,1787635247427751623,1787635242923528194,1787635247319934368,143.053318,4396.406174,1,45,45,0,0,0,87.748528,107.854843,394.941872
2026-08-25T05:23:44Z,5.000608,/lio/odom,ok,39,1787635420174822422,1787635424067925299,1787635420137563228,1787635424038527011,41.527871,3900.963783,1,39,39,0,0,0,91.535568,195.831538,398.157019
2026-08-25T05:23:44Z,5.000608,/lio/body_odom,ok,49,1787635419090938880,1787635424068887136,1787635419034994125,1787635424038527011,41.527871,5003.532886,1,49,49,0,0,0,91.535568,299.075127,400.031886
2026-08-25T05:25:30Z,5.000731,/lio/odom,ok,50,1787635525210397011,1787635530097859348,1787635525155138254,1787635530056660652,97.960248,4901.522398,1,50,50,0,0,0,90.085506,116.005421,145.301131
2026-08-25T05:25:30Z,5.000731,/lio/body_odom,ok,50,1787635525211442797,1787635530101821853,1787635525155138254,1787635530056660652,97.960248,4901.522398,1,50,50,0,0,0,90.085506,116.005421,146.729373
2026-08-25T05:26:24Z,5.000055,/lio/odom,ok,50,1787635579341956956,1787635584314708367,1787635579256508111,1787635584261335372,53.479507,5004.827261,1,50,50,0,0,0,6.003141,285.855770,368.003997
2026-08-25T05:26:24Z,5.000055,/lio/body_odom,ok,49,1787635579348519748,1787635584190618344,1787635579256508111,1787635584161672353,153.142526,4905.164242,1,49,49,0,0,0,6.003141,285.855770,367.500306
2026-08-25T05:27:41Z,5.004940,/lio/odom,ok,43,1787635656698680475,1787635660900423776,1787635656670564651,1787635660871175527,788.515454,4200.610876,1,43,43,0,0,0,93.605518,104.861021,136.603976
2026-08-25T05:27:41Z,5.004940,/lio/body_odom,ok,15,1787635656700486565,1787635658118881164,1787635656670564651,1787635658071249485,3588.441496,1400.684834,1,15,15,0,0,0,94.219923,103.853941,143.526695
