timestamp,monotonic_ns,load1,load5,load15,mem_available_kib,swap_free_kib,thermal_max_millic,thermal_zone,status
2026-08-25T05:17:17Z,263600000000,1.23,0.78,0.33,14017144,8015680,45968,soc1-thermal,ok
2026-08-25T05:18:50Z,359220000000,8.54,2.95,1.12,12828996,8015680,49031,soc1-thermal,ok
2026-08-25T05:19:45Z,412860000000,10.36,4.40,1.72,12780100,8015680,50156,soc1-thermal,ok
2026-08-25T05:20:39Z,466100000000,10.59,5.53,2.26,12891944,8015680,50687,tj-thermal,ok
2026-08-25T05:21:34Z,521340000000,12.01,6.78,2.88,12765944,8015680,51437,cpu-thermal,ok
2026-08-25T05:23:35Z,642490000000,10.23,7.97,3.80,12871372,8015680,52187,tj-thermal,ok
2026-08-25T05:24:27Z,694200000000,9.36,8.14,4.08,12872612,8015680,52406,tj-thermal,ok
2026-08-25T05:25:22Z,748890000000,11.14,8.84,4.56,12873284,8015680,52781,soc1-thermal,ok
2026-08-25T05:26:16Z,803160000000,12.66,9.71,5.11,12867888,8015680,53093,soc1-thermal,ok
2026-08-25T05:27:33Z,880300000000,11.66,9.87,5.51,12906836,8015680,53375,tj-thermal,ok
