timestamp,monotonic_ns,load1,load5,load15,mem_available_kib,swap_free_kib,thermal_max_millic,thermal_zone,status
2026-08-12T01:28:54Z,1073420000000,0.70,0.59,0.39,13858004,8015680,52375,soc1-thermal,ok
2026-08-12T01:30:24Z,1163330000000,3.13,1.64,0.79,12788396,8015680,54406,tj-thermal,ok
2026-08-12T01:31:12Z,1210940000000,2.17,1.59,0.82,12848876,8015680,54125,soc1-thermal,ok
2026-08-12T01:32:00Z,1258950000000,3.29,2.01,1.00,12836852,8015680,54125,tj-thermal,ok
2026-08-12T01:32:48Z,1307380000000,2.83,2.07,1.08,12774216,8015680,54687,tj-thermal,ok
2026-08-12T01:34:26Z,1405360000000,4.24,2.46,1.30,12782344,8015680,54656,soc1-thermal,ok
2026-08-12T01:35:14Z,1454140000000,3.64,2.60,1.41,12683208,8015680,54937,tj-thermal,ok
2026-08-12T01:36:04Z,1503980000000,6.22,3.30,1.70,12616116,8015680,55750,tj-thermal,ok
2026-08-12T01:36:57Z,1557260000000,11.57,5.36,2.50,12451604,8015680,56250,tj-thermal,ok
2026-08-12T01:38:24Z,1643490000000,9.96,6.66,3.23,13165520,8015680,56437,tj-thermal,ok
2026-08-12T01:39:15Z,1693820000000,5.94,6.07,3.21,13161716,8015680,55437,soc1-thermal,ok
