timestamp,component,running,pids
2026-08-06T05:56:00Z,hesai_lidar,0,
2026-08-06T05:56:00Z,go2_imu_bridge,0,
2026-08-06T05:56:00Z,super_lio,0,
2026-08-06T05:56:00Z,body_odom_adapter,0,
2026-08-06T05:56:00Z,terrain_mapper,0,
2026-08-06T05:56:00Z,body_lattice_planner,0,
2026-08-06T05:56:00Z,go2_sdk2_bridge,0,
2026-08-06T05:56:00Z,go2_rl_controller,0,
2026-08-06T05:56:52Z,hesai_lidar,1,7738;7758
2026-08-06T05:56:52Z,go2_imu_bridge,1,7824;7827
2026-08-06T05:56:52Z,super_lio,1,7858
2026-08-06T05:56:52Z,body_odom_adapter,1,8036
2026-08-06T05:56:52Z,terrain_mapper,1,8044
2026-08-06T05:56:52Z,body_lattice_planner,1,8054
2026-08-06T05:56:52Z,go2_sdk2_bridge,0,
2026-08-06T05:56:52Z,go2_rl_controller,0,
2026-08-06T05:57:35Z,hesai_lidar,1,7738;7758
2026-08-06T05:57:35Z,go2_imu_bridge,1,7824;7827
2026-08-06T05:57:35Z,super_lio,1,7858
2026-08-06T05:57:35Z,body_odom_adapter,1,8036
2026-08-06T05:57:35Z,terrain_mapper,1,8044
2026-08-06T05:57:35Z,body_lattice_planner,1,8054
2026-08-06T05:57:35Z,go2_sdk2_bridge,0,
2026-08-06T05:57:35Z,go2_rl_controller,0,
2026-08-06T05:58:17Z,hesai_lidar,1,7738;7758
2026-08-06T05:58:17Z,go2_imu_bridge,1,7824;7827
2026-08-06T05:58:17Z,super_lio,1,7858
2026-08-06T05:58:17Z,body_odom_adapter,0,
2026-08-06T05:58:17Z,terrain_mapper,0,
2026-08-06T05:58:17Z,body_lattice_planner,0,
2026-08-06T05:58:17Z,go2_sdk2_bridge,0,
2026-08-06T05:58:17Z,go2_rl_controller,0,
2026-08-06T05:58:58Z,hesai_lidar,1,7738;7758
2026-08-06T05:58:58Z,go2_imu_bridge,1,7824;7827
2026-08-06T05:58:58Z,super_lio,1,7858
2026-08-06T05:58:58Z,body_odom_adapter,0,
2026-08-06T05:58:58Z,terrain_mapper,0,
2026-08-06T05:58:58Z,body_lattice_planner,0,
2026-08-06T05:58:58Z,go2_sdk2_bridge,0,
2026-08-06T05:58:58Z,go2_rl_controller,0,
2026-08-06T05:59:42Z,hesai_lidar,1,7738;7758
2026-08-06T05:59:42Z,go2_imu_bridge,1,7824;7827
2026-08-06T05:59:42Z,super_lio,1,7858
2026-08-06T05:59:42Z,body_odom_adapter,0,
2026-08-06T05:59:42Z,terrain_mapper,0,
2026-08-06T05:59:42Z,body_lattice_planner,0,
2026-08-06T05:59:42Z,go2_sdk2_bridge,0,
2026-08-06T05:59:42Z,go2_rl_controller,0,
2026-08-06T06:00:23Z,hesai_lidar,1,7738;7758
2026-08-06T06:00:23Z,go2_imu_bridge,1,7824;7827
2026-08-06T06:00:23Z,super_lio,1,7858
2026-08-06T06:00:23Z,body_odom_adapter,0,
2026-08-06T06:00:23Z,terrain_mapper,0,
2026-08-06T06:00:23Z,body_lattice_planner,0,
2026-08-06T06:00:23Z,go2_sdk2_bridge,0,
2026-08-06T06:00:23Z,go2_rl_controller,0,
2026-08-06T06:01:04Z,hesai_lidar,1,7738;7758
2026-08-06T06:01:04Z,go2_imu_bridge,1,7824;7827
2026-08-06T06:01:04Z,super_lio,1,7858
2026-08-06T06:01:04Z,body_odom_adapter,0,
2026-08-06T06:01:04Z,terrain_mapper,0,
2026-08-06T06:01:04Z,body_lattice_planner,0,
2026-08-06T06:01:04Z,go2_sdk2_bridge,0,
2026-08-06T06:01:04Z,go2_rl_controller,0,
2026-08-06T06:01:46Z,hesai_lidar,1,7738;7758
2026-08-06T06:01:46Z,go2_imu_bridge,1,7824;7827
2026-08-06T06:01:46Z,super_lio,1,7858
2026-08-06T06:01:46Z,body_odom_adapter,0,
2026-08-06T06:01:46Z,terrain_mapper,0,
2026-08-06T06:01:46Z,body_lattice_planner,0,
2026-08-06T06:01:46Z,go2_sdk2_bridge,0,
2026-08-06T06:01:46Z,go2_rl_controller,0,
2026-08-06T06:02:29Z,hesai_lidar,1,7758
2026-08-06T06:02:29Z,go2_imu_bridge,0,
2026-08-06T06:02:29Z,super_lio,0,
2026-08-06T06:02:29Z,body_odom_adapter,0,
2026-08-06T06:02:29Z,terrain_mapper,0,
2026-08-06T06:02:29Z,body_lattice_planner,0,
2026-08-06T06:02:29Z,go2_sdk2_bridge,0,
2026-08-06T06:02:29Z,go2_rl_controller,0,
2026-08-06T06:03:10Z,hesai_lidar,1,7758
2026-08-06T06:03:10Z,go2_imu_bridge,0,
2026-08-06T06:03:10Z,super_lio,0,
2026-08-06T06:03:10Z,body_odom_adapter,0,
2026-08-06T06:03:10Z,terrain_mapper,0,
2026-08-06T06:03:10Z,body_lattice_planner,0,
2026-08-06T06:03:10Z,go2_sdk2_bridge,0,
2026-08-06T06:03:10Z,go2_rl_controller,0,
2026-08-06T06:03:51Z,hesai_lidar,1,7758
2026-08-06T06:03:51Z,go2_imu_bridge,0,
2026-08-06T06:03:51Z,super_lio,0,
2026-08-06T06:03:51Z,body_odom_adapter,0,
2026-08-06T06:03:51Z,terrain_mapper,0,
2026-08-06T06:03:51Z,body_lattice_planner,0,
2026-08-06T06:03:51Z,go2_sdk2_bridge,0,
2026-08-06T06:03:51Z,go2_rl_controller,0,
2026-08-06T06:04:32Z,hesai_lidar,1,7758
2026-08-06T06:04:32Z,go2_imu_bridge,0,
2026-08-06T06:04:32Z,super_lio,0,
2026-08-06T06:04:32Z,body_odom_adapter,0,
2026-08-06T06:04:32Z,terrain_mapper,0,
2026-08-06T06:04:32Z,body_lattice_planner,0,
2026-08-06T06:04:32Z,go2_sdk2_bridge,0,
2026-08-06T06:04:32Z,go2_rl_controller,0,
2026-08-06T06:05:15Z,hesai_lidar,1,7758
2026-08-06T06:05:15Z,go2_imu_bridge,0,
2026-08-06T06:05:15Z,super_lio,0,
2026-08-06T06:05:15Z,body_odom_adapter,0,
2026-08-06T06:05:15Z,terrain_mapper,0,
2026-08-06T06:05:15Z,body_lattice_planner,0,
2026-08-06T06:05:15Z,go2_sdk2_bridge,0,
2026-08-06T06:05:15Z,go2_rl_controller,0,
2026-08-06T06:05:56Z,hesai_lidar,1,7758
2026-08-06T06:05:56Z,go2_imu_bridge,0,
