timestamp,topic,average_hz,status
2026-08-25T07:05:34Z,/lio/odom,,no_data
2026-08-25T07:05:34Z,/lio/body_odom,,no_data
2026-08-25T07:06:17Z,/imu/data,139.628,ok
2026-08-25T07:06:21Z,/lio/odom,,no_data
2026-08-25T07:06:26Z,/lio/body_odom,,no_data
2026-08-25T07:06:31Z,/body_path,,no_data
2026-08-25T07:06:35Z,/terrain_costmap,,no_data
2026-08-25T07:06:40Z,/sdk2_command,,no_data
2026-08-25T07:07:09Z,/lio/odom,10.172742,ok
2026-08-25T07:07:09Z,/lio/body_odom,10.101399,ok
2026-08-25T07:07:09Z,/imu/data,147.418,ok
2026-08-25T07:07:14Z,/lio/odom,10.058,ok
2026-08-25T07:07:18Z,/lio/body_odom,,no_data
2026-08-25T07:07:22Z,/body_path,,no_data
2026-08-25T07:07:27Z,/terrain_costmap,1.984,ok
2026-08-25T07:07:31Z,/sdk2_command,,no_data
2026-08-25T07:08:03Z,/imu/data,,no_data
2026-08-25T07:08:07Z,/lio/odom,9.819,ok
2026-08-25T07:08:12Z,/lio/body_odom,,no_data
2026-08-25T07:08:17Z,/body_path,,no_data
2026-08-25T07:08:22Z,/terrain_costmap,,no_data
2026-08-25T07:08:26Z,/sdk2_command,,no_data
2026-08-25T07:08:56Z,/lio/odom,10.126728,ok
2026-08-25T07:08:56Z,/lio/body_odom,9.963151,ok
2026-08-25T07:08:57Z,/imu/data,,no_data
2026-08-25T07:09:01Z,/lio/odom,9.807,ok
2026-08-25T07:09:06Z,/lio/body_odom,9.959,ok
2026-08-25T07:09:11Z,/body_path,,no_data
2026-08-25T07:09:15Z,/terrain_costmap,,no_data
2026-08-25T07:09:20Z,/sdk2_command,19.999,ok
