timestamp,monotonic_ns,load1,load5,load15,mem_available_kib,swap_free_kib,thermal_max_millic,thermal_zone,status
2026-08-11T01:29:07Z,62210000000,1.40,0.43,0.15,13931372,8015680,53687,tj-thermal,ok
2026-08-11T01:30:40Z,156240000000,6.98,2.54,0.93,12957568,8015680,56031,soc1-thermal,ok
2026-08-11T01:31:31Z,206760000000,8.19,3.61,1.38,12972180,8015680,56562,soc1-thermal,ok
2026-08-11T01:32:23Z,259280000000,7.82,4.18,1.69,12874784,8015680,56750,tj-thermal,ok
2026-08-11T01:33:15Z,310880000000,9.34,5.31,2.22,12859376,8015680,57093,soc1-thermal,ok
2026-08-11T01:34:56Z,412240000000,9.25,6.45,2.96,12853628,8015680,57281,cpu-thermal,ok
2026-08-11T01:35:48Z,463930000000,8.97,6.81,3.27,12857856,8015680,57531,soc1-thermal,ok
2026-08-11T01:36:40Z,515970000000,9.54,7.45,3.69,12853604,8015680,57468,soc1-thermal,ok
2026-08-11T01:37:31Z,566790000000,8.72,7.65,3.97,12853476,8015680,57468,tj-thermal,ok
2026-08-11T01:38:47Z,643260000000,8.32,7.77,4.30,12837168,8015680,57468,soc1-thermal,ok
2026-08-11T01:39:39Z,694830000000,6.80,7.47,4.38,12832840,8015680,57343,tj-thermal,ok
2026-08-11T01:40:28Z,744180000000,8.11,7.66,4.60,12821476,8015680,57281,tj-thermal,ok
