timestamp,component,running,pids,states,cpu_percent_interval,rss_kib,threads,metrics_status
2026-08-26T05:34:30Z,hesai_lidar,0,,,,0,0,stopped
2026-08-26T05:34:30Z,go2_imu_bridge,0,,,,0,0,stopped
2026-08-26T05:34:30Z,super_lio,0,,,,0,0,stopped
2026-08-26T05:34:30Z,body_odom_adapter,0,,,,0,0,stopped
2026-08-26T05:34:30Z,terrain_mapper,0,,,,0,0,stopped
2026-08-26T05:34:30Z,body_lattice_planner,0,,,,0,0,stopped
2026-08-26T05:34:30Z,go2_sdk2_bridge,0,,,,0,0,stopped
2026-08-26T05:34:30Z,go2_sdk2_direct_bridge,0,,,,0,0,stopped
2026-08-26T05:34:30Z,go2_rl_controller,0,,,,0,0,stopped
2026-08-26T05:36:07Z,hesai_lidar,1,4016;4018;4033,4016:S;4018:S;4033:S,,225116,19,baseline
2026-08-26T05:36:07Z,go2_imu_bridge,1,4094;4096;4100,4094:S;4096:S;4100:S,,126264,22,baseline
2026-08-26T05:36:07Z,super_lio,1,4135,4135:S,,148288,15,baseline
2026-08-26T05:36:07Z,body_odom_adapter,1,4370,4370:S,,87516,12,baseline
2026-08-26T05:36:07Z,terrain_mapper,1,4376,4376:S,,114404,12,baseline
2026-08-26T05:36:07Z,body_lattice_planner,1,4384,4384:S,,93112,12,baseline
2026-08-26T05:36:07Z,go2_sdk2_bridge,1,4662,4662:S,,96168,20,baseline
2026-08-26T05:36:07Z,go2_sdk2_direct_bridge,0,,,,0,0,stopped
2026-08-26T05:36:07Z,go2_rl_controller,0,,,,0,0,stopped
2026-08-26T05:37:01Z,hesai_lidar,1,4016;4018;4033,4016:S;4018:S;4033:S,19.164,224820,19,ok
2026-08-26T05:37:01Z,go2_imu_bridge,1,4094;4096;4100,4094:S;4096:S;4100:S,9.684,126124,22,ok
2026-08-26T05:37:01Z,super_lio,1,4135,4135:R,38.271,151856,15,ok
2026-08-26T05:37:01Z,body_odom_adapter,1,4370,4370:S,0.874,87096,12,ok
2026-08-26T05:37:01Z,terrain_mapper,1,4376,4376:S,15.279,114244,12,ok
2026-08-26T05:37:01Z,body_lattice_planner,1,4384,4384:S,1.468,92600,12,ok
2026-08-26T05:37:01Z,go2_sdk2_bridge,1,4662,4662:S,11.896,95868,20,ok
2026-08-26T05:37:01Z,go2_sdk2_direct_bridge,0,,,,0,0,stopped
2026-08-26T05:37:01Z,go2_rl_controller,0,,,,0,0,stopped
2026-08-26T05:37:53Z,hesai_lidar,1,4016;4018;4033,4016:S;4018:S;4033:S,19.290,224408,19,ok
2026-08-26T05:37:53Z,go2_imu_bridge,1,4094;4096;4100,4094:S;4096:S;4100:S,9.810,125540,22,ok
2026-08-26T05:37:53Z,super_lio,1,4135,4135:R,37.902,151380,15,ok
2026-08-26T05:37:53Z,body_odom_adapter,1,4370,4370:S,0.931,86560,12,ok
2026-08-26T05:37:53Z,terrain_mapper,1,4376,4376:S,15.936,116828,12,ok
2026-08-26T05:37:53Z,body_lattice_planner,1,4384,4384:S,1.473,91976,12,ok
2026-08-26T05:37:53Z,go2_sdk2_bridge,1,4662,4662:S,12.078,95508,20,ok
2026-08-26T05:37:53Z,go2_sdk2_direct_bridge,0,,,,0,0,stopped
2026-08-26T05:37:53Z,go2_rl_controller,0,,,,0,0,stopped
2026-08-26T05:38:46Z,hesai_lidar,1,4016;4018;4033,4016:S;4018:S;4033:S,19.259,226656,19,ok
2026-08-26T05:38:46Z,go2_imu_bridge,1,4094;4096;4100,4094:S;4096:S;4100:S,10.234,127944,22,ok
2026-08-26T05:38:46Z,super_lio,1,4135,4135:R,39.282,150808,15,ok
2026-08-26T05:38:46Z,body_odom_adapter,1,4370,4370:S,0.968,88932,12,ok
2026-08-26T05:38:46Z,terrain_mapper,1,4376,4376:S,17.547,112148,12,ok
2026-08-26T05:38:46Z,body_lattice_planner,1,4384,4384:S,1.228,91168,12,ok
2026-08-26T05:38:46Z,go2_sdk2_bridge,1,6665,6665:S,,96300,20,baseline
2026-08-26T05:38:46Z,go2_sdk2_direct_bridge,0,,,,0,0,stopped
